f000001,0.000,4.880,"They said, “Let’s go to the hospital.” I said, “That’s okay."
f000002,4.880,11.360,"I’m going to respond to what you say.” And we went over to Walter Reed, where you have tremendous professionals."
f000003,11.360,14.720,"They gave me Regeneron and Remdeceiver both."
f000004,14.720,18.800,"And all I know is I felt good the following day, I felt really good."
f000005,18.800,22.320,"Did the doctors ever tell you that they saw pneumonia on your lung scans?"
f000006,22.320,28.760,"No, but they said the lungs are a little bit different, a little bit perhaps infected, and-"
f000007,28.760,30.200,"Infected with?"
f000008,30.200,30.960,"I don’t know."
f000009,30.960,32.840,"I mean, I didn’t do too much asking."
f000010,32.840,33.960,"I really felt good."
f000011,33.960,36.640,"I didn’t have much of a problem with the lungs."
f000012,36.640,39.080,"I did have a little bit of a temperature."
f000013,39.080,43.560,"Obviously, I felt there was something missing, and then I tested, I tested positive."
f000014,43.560,47.920,"Well, let’s talk about testing because there’s a little bit of a, I guess, confusion about this."
f000015,47.920,49.480,"And I think we can clear it up."
f000016,49.480,50.720,"Yeah, and there shouldn’t be."
f000017,50.720,55.480,"Your first positive test was Thursday, October 1st, okay?"
f000018,55.480,57.560,"When was your last negative test?"
f000019,57.560,60.920,"When did you last remember having a negative test?"
f000020,60.920,70.560,"Well, I test quite a bit, and I can tell you that before the debate, which I thought it was a very good debate, and I felt fantastically, I had no problems before."
f000021,70.560,72.400,"Did you test the day of the debate?"
f000022,72.400,73.640,"I don’t know, I don’t even remember."
f000023,73.640,74.600,"I test all the time."
f000024,74.600,85.880,"But I can tell you this, after the debate, I guess a day or so, I think it was Thursday evening, maybe even late Thursday evening, I tested positive."
f000025,85.880,87.080,"That’s when I first found out about it."
f000026,87.080,90.760,"Well back to the debate, because the debate commission’s rules, it was the honor system."
f000027,90.760,91.000,"Yeah."
f000028,91.000,93.080,"Would be that you would come with a negative test."
f000029,93.080,95.440,"You say you don’t know if you’ve got a test on the day of the debate?"
f000030,95.440,96.280,"I had no problem."
f000031,96.280,97.360,"Again, the doctors do it."
f000032,97.360,98.400,"I don’t ask them."
f000033,98.400,99.560,"I test all the time."
f000034,99.560,100.160,"And they-"
f000035,100.160,102.400,"Did you take a test, though, on the day of the debate?"
f000036,102.400,104.320,"If you ask as the doctor, they’ll give you a perfect answer."
f000037,104.320,107.320,"But they take a test and I leave and I go about my business."
f000038,107.320,110.120,"So you did you take a test on the day of the debate, I guess is the bottom line?"
f000039,110.120,117.480,"I probably did, and I took a test the day before and the day before, and I was always in great shape, and I was in great shape for the debate."
f000040,117.480,125.800,"And it was only after the debate, a period of time after the debate that I said, “That’s interesting.” And they took a test and it tested positive."
f000041,125.800,129.120,"Just to button it up, do you take a test every single day?"
f000042,129.120,129.520,"No."
f000043,129.520,131.160,"No, but I take a lot of tests."
f000044,131.160,131.400,"Okay."
f000045,131.400,133.760,"And you don’t know if you took a test the day of the debate?"
f000046,133.760,135.960,"Possibly I did, possibly I didn’t."
f000047,135.960,140.960,"But the doctor has very accurate information and it’s not only that doctor, it’s many doctors."
f000048,140.960,145.240,"The one thing, if you’re President, you have a lot of doctors you’re surrounded by."
f000049,145.240,147.920,"But I was in great shape for the debate."
f000050,147.920,154.440,"And sometime after the debate, I tested positive, then that’s when they decided to, let’s go."
f000051,154.440,155.000,"Okay, good."
f000052,155.000,156.640,"I hopefully provided some clarity for folks."
f000053,156.640,161.480,"Let’s talk about the event that was held at the White House on the Saturday before you tested positive."
f000054,161.480,166.600,"Subsequent to that, 13 people connected to that event tested positive."
f000055,166.600,169.880,"There was an outdoor reception, you’ve seen the pictures."
f000056,169.880,171.080,"There was an indoor reception."
f000057,171.080,173.640,"People were not wearing masks."
f000058,173.640,179.720,"My question to you is, at this point in the pandemic, knowing what we know, shouldn’t you have known better?"
f000059,179.720,182.080,"Shouldn’t the White House know better than to hold an event like that?"
f000060,182.080,187.600,"Well, they do a lot of testing in the White House, they test everybody including me, but they test everybody."
f000061,187.600,189.160,"And something happened."
f000062,189.160,192.160,"But as far as the mask is concerned, I’m good with masks."
f000063,192.160,193.080,"I’m okay with masks."
f000064,193.080,194.240,"I tell people, wear a mask."
f000065,194.240,199.960,"But just the other day, they came out with a statement that 85% of the people that wear masks catch it."
f000066,199.960,200.520,"So this is a very-"
f000067,200.520,202.040,"It didn’t say that."
f000068,202.040,202.960,"I know that study."
f000069,202.960,205.240,"That’s what I heard, and that’s what I saw."
f000070,205.240,209.280,"And regardless, but everybody’s tested and they’re tested often."
f000071,209.280,213.320,"And I also knew that, hey, I’m President."
f000072,213.320,214.360,"I have to see people."
f000073,214.360,215.920,"I can’t be in a basement."
f000074,215.920,217.120,"I can’t be in a room."
f000075,217.120,218.880,"I can’t be… I have to be out."
f000076,218.880,221.120,"You can see people with a mask, though, right?"
f000077,221.120,224.720,"I can, but people with masks are catching it all the time."
f000078,224.720,228.320,"I mean, if you look at the Governor of Virginia, he was known for a mask."
f000079,228.320,231.560,"If you look at Thom Tillis, a great guy, he always had a mask, and they caught it."
f000080,231.560,236.080,"Well, there are pictures of Thom Tillis, actually with one of Judge Barrett’s kids not wearing a mask."
f000081,236.080,239.120,"But you know Chris Christie, he was part of your debate prep."
f000082,239.120,239.200,"Yeah."
f000083,239.200,241.160,"He was, I believe at that event."
f000084,241.160,242.800,"He came out tonight, he was sick, very sick."
f000085,242.800,243.760,"He was in the hospital for about a week."
f000086,243.760,244.680,"Yes, I know this."
f000087,244.680,248.200,"He came out tonight and said, “I was wrong not to wear a mask.”"
f000088,248.200,249.520,"Well, I mean, he has to say that."
f000089,249.520,253.280,"I think it’s great, he’s a friend of mine."
f000090,253.280,254.520,"He’s a good guy."
f000091,254.520,262.040,"And wrong or not wrong, you have to understand, as President, I can’t be locked in a room someplace for the next year and just stay and do nothing."
f000092,262.040,268.320,"And every time I go into a crowd, I was with the parents of our fallen heroes."
f000093,268.320,270.280,"These people are the most incredible people."
f000094,270.280,276.480,"And they came up to me and they would hug me, and they would touch me, and I’m not to not let them do it, to be honest with you."
f000095,276.480,279.080,"Now, there was an event with the gold star families the day after the Supreme Court event."
f000096,279.080,281.240,"There was, exactly right."
f000097,281.240,285.880,"We had a gold star event with the most incredible people you’ve ever seen."
f000098,285.880,289.640,"And I could have chosen not to talk to them, or to keep everybody away."
f000099,289.640,290.680,"And you know what?"
f000100,290.680,294.840,"I don’t think that’s probably where it was caught, but maybe it was."
f000101,294.840,296.680,"I going to say, you bring it up, you brought it up yourself."
f000102,296.680,298.160,"I mean, are you trying to suggest that?"
f000103,298.160,300.920,"Do you believe a grieving military family gave you a COVID?"
f000104,300.920,305.960,"No, I don’t know where it came from, and you don’t know where it came from, and the doctors don’t know where it came from."
f000105,305.960,308.320,"But as the President, I have to be out there."
f000106,308.320,309.120,"I also know-"
f000107,309.120,313.000,"Well, there’s no one that says you can’t be out there, but it’s just about wearing masks and having… For example, your rallies."
f000108,313.000,313.880,"I know this."
f000109,313.880,315.560,"Your rallies don’t require masks."
f000110,315.560,316.800,"I mean, let’s see, Kamala."
f000111,316.800,320.440,"She’s got people now, people have it, and I’m not blaming her."
f000112,320.440,324.760,"I’m not saying, “Oh, she did a terrible thing.” As President, I have to be out there."
f000113,324.760,326.400,"I can’t be in a basement."
f000114,326.400,329.840,"I can’t be locked in a very beautiful room someplace in the White House."
f000115,329.840,333.760,"And I want to see the gold star families, and I want to see everybody."
f000116,333.760,337.200,"And I also say to people all the time, it’s risky doing it."
f000117,337.200,338.560,"It is risky doing it."
f000118,338.560,340.680,"But as President, you’re right."
f000119,340.680,344.360,"You want to be a leader, but you also are a leader and a setter of an example."
f000120,344.360,349.920,"And if you’re not wearing a mask when your administration is saying, “Best practice right now is wear a mask,” no, it’s not foolproof."
f000121,349.920,350.680,"But that will-"
f000122,350.680,352.400,"But many people are catching it."
f000123,352.400,357.640,"Many people are getting this disease that was sent to us by China, and it shouldn’t have been allowed to happen."
f000124,357.640,359.600,"But many people are getting this."
f000125,359.600,361.680,"And I mean, nobody’s being blamed."
f000126,361.680,366.600,"Everybody is working hard to get this thing out of our country, get it out of the world."
f000127,366.600,369.800,"Look at what’s going on in Europe, massive spikes."
f000128,369.800,375.400,"They’ve done a very good job, but now you take a look today at the UK, you take a look at Spain and France and Italy."
f000129,375.400,376.800,"There’s tremendous spikes."
f000130,376.800,380.160,"But our death rate is worse than, well, not Spain, but those other countries."
f000131,380.160,383.720,"Well, I have thing right here that will tell you exactly the opposite."
f000132,383.720,384.320,"Me too."
f000133,384.320,388.280,"The UK is up 2500%, because I knew you’d be doing this."
f000134,388.280,389.240,"I know you very well."
f000135,389.240,392.360,"The UK is up 2500%."
f000136,392.360,395.360,"The EU is up 722%."
f000137,395.360,398.160,"And the United States is down 21%."
f000138,398.160,401.800,"But we have per… Our deaths per capita is among the highest of all-"
f000139,401.800,402.560,"Excess mortality."
f000140,402.560,403.200,"I’m sorry?"
f000141,403.200,407.320,"Excess mortality, we’re a winner on the excess mortality."
f000142,407.320,409.640,"And what we’ve done has been amazing."
f000143,409.640,412.200,"And we have done an amazing job."
f000144,412.200,417.160,"And it’s rounding the corner and we have the vaccines coming, and we have the therapies coming."
f000145,417.160,418.800,"And I’ll tell you what, one thing."
f000146,418.800,421.440,"When I got it, I had a choice."
f000147,421.440,425.760,"Do nothing, or use some of the things that we’re looking at, like in this case, Regeneron."
f000148,425.760,429.840,"and Eli Lilly makes something that’s supposed to be incredible."
f000149,429.840,434.240,"And I think that maybe I wouldn’t be doing this discussion with you right now."
f000150,434.240,441.960,"We have therapies now and cures, maybe you can use the word cure, but we have therapies that are absolutely incredible, Savannah."
f000151,441.960,443.000,"I want to pick up on something you just said."
f000152,443.000,444.600,"You said we’re rounding the corner."
f000153,444.600,446.240,"I believe we’re rounding the corner, yes."
f000154,446.240,448.960,"10% of the country approximately has had COVID."
